num,confidence,negative_prob,positive_prob,sentiment
0,0.800509,0.490025,0.509975,1.0
1,0.0171106,0.5577,0.4423,0.0
2,0.996161,0.00172777,0.998272,2.0
3,0.830517,0.0762672,0.923733,2.0
4,0.552189,0.798485,0.201515,0.0
5,0.762779,0.106749,0.893251,2.0
6,0.998956,0.99953,0.000469916,0.0
7,0.945327,0.0246029,0.975397,2.0
8,0.765313,0.105609,0.894391,2.0
9,0.969038,0.986067,0.0139328,0.0
10,0.907321,0.0417057,0.958294,2.0
11,0.710224,0.869601,0.130399,0.0
12,0.685209,0.858344,0.141656,0.0
13,0.777664,0.100051,0.899949,2.0
14,0.950362,0.977663,0.0223373,0.0
15,0.987546,0.994396,0.0056042,0.0
16,0.97368,0.0118439,0.988156,2.0
17,0.95663,0.0195164,0.980484,2.0
18,0.963515,0.0164181,0.983582,2.0
19,0.991585,0.00378664,0.996213,2.0
20,0.971217,0.987048,0.0129524,0.0
21,0.712394,0.129423,0.870577,2.0
22,0.727476,0.877364,0.122636,0.0
23,0.989813,0.00458397,0.995416,2.0
24,0.855673,0.935053,0.0649471,0.0
25,0.963844,0.0162701,0.98373,2.0
26,0.938365,0.972264,0.0277357,0.0
27,0.969364,0.0137861,0.986214,2.0
28,0.916227,0.962302,0.037698,0.0
29,0.917513,0.0371192,0.962881,2.0
30,0.849769,0.932396,0.0676039,0.0
31,0.977882,0.00995332,0.990047,2.0
32,0.964714,0.0158787,0.984121,2.0
33,0.998969,0.000464127,0.999536,2.0
34,0.775167,0.101175,0.898825,2.0
35,0.740424,0.116809,0.883191,2.0
36,0.765266,0.89437,0.10563,0.0
37,0.980012,0.00899457,0.991005,2.0
38,0.947771,0.023503,0.976497,2.0
39,0.188926,0.459446,0.540554,1.0
40,0.532378,0.78957,0.21043,0.0
41,0.926689,0.96701,0.0329898,0.0
42,0.999615,0.000173267,0.999827,2.0
43,0.931888,0.0306506,0.969349,2.0
44,0.99918,0.999631,0.00036908,0.0
45,0.15461,0.54227,0.45773,1.0
46,0.893153,0.0480811,0.951919,2.0
47,0.64954,0.157707,0.842293,2.0
48,0.0138048,0.556212,0.443788,0.0
49,0.756368,0.109635,0.890365,2.0
50,0.959142,0.0183863,0.981614,2.0
51,0.95333,0.0210015,0.978998,2.0
52,0.798626,0.0906185,0.909382,2.0
53,0.982673,0.0077971,0.992203,2.0
54,0.998794,0.000542555,0.999457,2.0
55,0.946686,0.0239911,0.976009,2.0
56,0.530246,0.211389,0.788611,2.0
57,0.622574,0.169842,0.830158,2.0
58,0.837514,0.0731185,0.926881,2.0
59,0.925052,0.0337267,0.966273,2.0
60,0.960287,0.982129,0.0178707,0.0
61,0.7824,0.0979199,0.90208,2.0
62,0.945023,0.97526,0.0247398,0.0
63,0.990853,0.00411624,0.995884,2.0
64,0.735658,0.881046,0.118954,0.0
65,0.999595,0.000181966,0.999818,2.0
66,0.797499,0.0911253,0.908875,2.0
67,0.714254,0.871414,0.128586,0.0
68,0.870621,0.0582207,0.941779,2.0
69,0.100456,0.404795,0.595205,2.0
70,0.999856,6.46209e-05,0.999935,2.0
71,0.976585,0.0105367,0.989463,2.0
72,0.897017,0.953658,0.0463423,0.0
73,0.292264,0.318481,0.681519,2.0
74,0.966695,0.985013,0.0149874,0.0
75,0.971622,0.0127699,0.98723,2.0
76,0.670972,0.851937,0.148063,0.0
77,0.880975,0.946439,0.053561,0.0
78,0.478806,0.765463,0.234537,0.0
79,0.976844,0.98958,0.01042,0.0
80,0.82645,0.0780973,0.921903,2.0
81,0.721045,0.87447,0.12553,0.0
82,0.767932,0.10443,0.89557,2.0
83,0.714517,0.128467,0.871533,2.0
84,0.582427,0.187908,0.812092,2.0
85,0.617989,0.171905,0.828095,2.0
86,0.936689,0.0284901,0.97151,2.0
87,0.992858,0.996786,0.00321373,0.0
88,0.995871,0.998142,0.00185794,0.0
89,0.996881,0.00140345,0.998597,2.0
90,0.355731,0.710079,0.289921,0.0
91,0.984929,0.00678185,0.993218,2.0
92,0.00429034,0.551931,0.448069,0.0
93,0.654962,0.844733,0.155267,0.0
94,0.92667,0.967001,0.0329985,0.0
95,0.97382,0.0117811,0.988219,2.0
96,0.87939,0.0542747,0.945725,2.0
97,0.0906795,0.545466,0.454534,1.0
98,0.878321,0.0547554,0.945245,2.0
99,0.666559,0.150049,0.849951,2.0
100,0.990611,0.995775,0.00422528,0.0
101,0.78208,0.901936,0.0980639,0.0
102,0.970863,0.0131115,0.986888,2.0
103,0.985995,0.0063021,0.993698,2.0
